X,Y,Z,ID,Date,Location Residual,Sensors Hit,Sensors Used,Apparent Volume,Seismic Moment,Local Magnitude
2.83E+03,4.67E+03,1.07E+03,nan,nan,4.15E+00,5.00E+00,4.00E+00,8.42E+04,4.65E+07,-1.70E+00
2.75E+03,4.80E+03,1.22E+03,nan,nan,1.04E+00,7.00E+00,7.00E+00,6.43E+04,2.81E+08,-1.00E+00
2.88E+03,4.65E+03,9.74E+02,nan,nan,1.05E+00,6.00E+00,5.00E+00,6.16E+03,2.23E+07,-1.70E+00
2.90E+03,4.69E+03,1.03E+03,nan,nan,1.94E+00,5.00E+00,5.00E+00,7.57E+02,2.13E+06,-2.40E+00
2.86E+03,4.65E+03,9.88E+02,nan,nan,2.40E-01,6.00E+00,6.00E+00,5.07E+02,9.64E+06,-1.80E+00
2.68E+03,4.77E+03,1.22E+03,nan,nan,6.24E+00,4.00E+00,4.00E+00,8.71E+02,3.16E+06,-2.30E+00
2.76E+03,4.80E+03,1.20E+03,nan,nan,2.17E+00,5.00E+00,5.00E+00,2.70E+02,4.18E+06,-2.00E+00
2.72E+03,4.76E+03,1.07E+03,nan,nan,1.39E+01,5.00E+00,4.00E+00,3.98E+03,8.15E+06,-2.10E+00
2.79E+03,4.76E+03,1.15E+03,nan,nan,1.11E+00,7.00E+00,5.00E+00,2.11E+02,2.78E+06,-2.20E+00
2.71E+03,YYYYYYYY,1.19E+03,nan,nan,1.40E+00,4.00E+00,4.00E+00,1.83E+01,1.68E+06,-2.10E+00
2.75E+03,4.75E+03,1.16E+03,nan,nan,2.57E+00,6.00E+00,6.00E+00,2.36E+02,3.77E+06,MMMMMMMMM
2.77E+03,4.75E+03,1.16E+03,nan,nan,2.24E+00,6.00E+00,6.00E+00,5.76E+02,1.76E+07,-1.50E+00
2.77E+03,4.73E+03,1.16E+03,nan,nan,8.80E-01,6.00E+00,6.00E+00,4.23E+03,3.39E+07,-1.50E+00
2.67E+03,4.76E+03,1.17E+03,nan,nan,1.57E+00,6.00E+00,6.00E+00,7.20E+04,1.57E+09,-3.00E-01
